user_index,item_index,completion
0,0,0.0
0,0,0.03448275862068965
1,1,0.03333333333333333
1,2,0.06896551724137931
1,3,0.06896551724137931
1,4,0.3793103448275862
2,5,0.0
2,5,0.0
2,6,0.0
3,7,1.0344827586206895
4,8,0.5333333333333333
4,9,0.3103448275862069
1,10,0.03448275862068965
1,11,0.03448275862068965
4,12,1.9333333333333331
0,13,0.0
0,13,0.13793103448275862
0,14,0.0
0,14,1.0344827586206895
5,15,1.0689655172413792
4,11,0.1724137931034483
5,16,0.20689655172413796
5,17,1.3103448275862069
5,18,0.27586206896551724
4,19,0.4827586206896552
5,20,0.13793103448275862
6,21,1.1034482758620692
5,22,0.4482758620689655
5,23,0.1724137931034483
4,24,0.9666666666666668
6,25,0.1724137931034483
0,26,0.0
0,26,1.5517241379310345
6,25,0.06896551724137931
7,27,0.4827586206896552
0,28,1.0
0,28,0.0
7,29,1.0689655172413792
5,0,1.0344827586206895
8,30,1.0344827586206895
4,31,0.3333333333333333
7,32,1.0333333333333334
8,33,0.4482758620689655
4,34,0.8
4,25,0.06896551724137931
5,35,0.06896551724137931
7,36,0.10344827586206896
8,37,0.3103448275862069
9,38,0.0
9,38,0.0
5,39,1.0344827586206895
10,40,0.4137931034482759
6,25,0.03448275862068965
6,25,0.03448275862068965
10,41,0.6206896551724138
5,42,0.5172413793103449
5,43,0.06896551724137931
10,3,0.9310344827586208
4,44,0.16666666666666666
7,45,1.3
5,46,1.0689655172413792
8,47,0.8
7,48,0.2413793103448276
7,49,0.27586206896551724
8,50,0.4482758620689655
2,51,0.0
6,52,0.6551724137931034
2,51,0.0
2,53,0.0
4,47,0.1
4,54,0.8275862068965517
4,33,0.1724137931034483
4,33,0.06896551724137931
10,55,0.4
10,56,0.9655172413793104
8,57,0.4827586206896552
8,55,1.0333333333333334
8,58,0.6551724137931034
11,4,0.06896551724137931
12,59,0.13793103448275862
13,60,1.206896551724138
13,60,0.06896551724137931
14,61,0.03448275862068965
14,61,0.03448275862068965
15,62,0.03448275862068965
16,63,1.0
17,64,1.0333333333333334
17,32,1.0
15,65,0.8275862068965517
17,66,0.3448275862068966
17,54,0.7931034482758621
15,67,1.0344827586206895
17,36,0.03448275862068965
18,68,0.03448275862068965
15,42,1.0689655172413792
15,69,1.2758620689655171
15,70,0.5172413793103449
19,26,0.6206896551724138
17,71,1.0344827586206895
17,72,0.4137931034482759
17,10,0.03448275862068965
12,48,1.0689655172413792
12,58,0.03448275862068965
19,73,0.0
19,73,0.5862068965517241
12,54,0.20689655172413796
17,74,0.8275862068965517
15,7,1.0
12,75,0.03333333333333333
19,73,0.03448275862068965
9,76,0.0
12,64,1.1
15,63,1.0689655172413792
12,77,0.36666666666666653
15,78,0.5517241379310345
12,79,0.1
12,80,0.13333333333333333
12,81,0.06666666666666668
12,82,0.13333333333333333
15,83,1.0344827586206895
12,84,0.10344827586206896
12,85,0.03333333333333333
18,68,0.13793103448275862
12,53,0.1724137931034483
12,56,0.03448275862068965
12,11,0.06896551724137931
20,86,0.03448275862068965
17,81,0.06666666666666668
17,87,0.03333333333333333
21,20,0.03448275862068965
21,20,0.03448275862068965
22,59,0.0
23,45,0.13333333333333333
22,88,0.0
22,59,0.0
22,88,0.0
22,59,0.0
20,89,0.03448275862068965
23,47,0.8666666666666667
22,88,0.0
22,59,0.0
17,40,0.2413793103448276
23,90,0.4137931034482759
17,5,0.13333333333333333
17,91,0.03448275862068965
17,85,0.5
23,6,0.8965517241379308
23,92,1.0344827586206895
20,93,0.03448275862068965
17,79,1.0
17,41,0.6206896551724138
23,94,0.03448275862068965
23,95,0.0
23,96,1.1034482758620692
17,61,0.3448275862068966
17,97,0.1724137931034483
17,98,0.13793103448275862
17,55,0.03333333333333333
20,99,0.03448275862068965
24,100,0.3
24,101,0.8275862068965517
17,102,0.03448275862068965
24,103,0.03333333333333333
17,104,0.10344827586206896
17,105,1.0
23,106,0.8275862068965517
23,107,0.03333333333333333
17,108,0.1724137931034483
20,109,0.06896551724137931
20,110,0.0
25,58,0.0
23,84,0.10344827586206896
23,81,0.1
23,61,0.3103448275862069
23,58,1.0344827586206895
23,108,0.03448275862068965
26,83,1.0344827586206895
23,111,0.0
24,11,1.0344827586206895
24,53,0.10344827586206896
26,39,0.4482758620689655
23,9,0.03448275862068965
23,112,0.03333333333333333
26,113,1.0689655172413792
23,114,0.16666666666666666
26,115,0.10344827586206896
23,105,1.0
24,64,1.0
24,77,0.06666666666666668
24,81,0.03333333333333333
26,20,0.6551724137931034
23,41,1.0344827586206895
24,105,0.03333333333333333
27,116,0.3793103448275862
27,116,0.03448275862068965
24,29,0.5517241379310345
28,106,0.0
28,106,0.0
24,29,0.06896551724137931
28,106,0.0
28,106,0.0
27,116,0.6206896551724138
26,117,1.0
28,106,0.27586206896551724
28,106,0.0
28,1,0.0
28,1,0.0
28,106,0.0
28,106,0.0
28,106,0.0
28,106,0.0
28,1,0.0
28,1,0.0
26,69,0.06896551724137931
26,118,0.20689655172413796
23,4,0.2413793103448276
28,1,0.0
28,1,0.0
26,118,0.7931034482758621
28,106,1.0
28,106,0.0
29,0,0.3103448275862069
26,0,0.03448275862068965
28,106,0.0
28,106,0.0
28,1,0.0
28,106,0.0
28,106,0.0
28,1,0.0
28,27,0.0
28,27,0.0
28,80,0.0
28,80,0.0
29,119,1.0
26,68,0.10344827586206896
28,80,0.0
28,80,0.43333333333333335
28,27,0.0
28,27,0.0
24,71,1.0689655172413792
28,80,0.0
28,80,0.0
28,27,0.0
28,27,0.9655172413793104
24,120,1.137931034482759
23,121,0.8275862068965517
23,77,0.13333333333333333
12,122,0.16666666666666666
24,122,0.5333333333333333
23,74,1.0344827586206895
28,112,0.0
28,112,0.0
28,33,0.0
28,33,0.0
28,112,0.0
28,112,0.16666666666666666
23,59,0.03448275862068965
28,33,0.0
28,33,1.0
12,123,0.13793103448275862
28,33,0.0
28,33,0.06896551724137931
12,9,0.10344827586206896
28,33,0.03448275862068965
12,71,0.03448275862068965
12,124,0.03448275862068965
24,122,0.43333333333333335
23,37,0.3448275862068966
12,101,0.03448275862068965
12,101,0.06896551724137931
23,57,0.9310344827586208
24,48,0.4137931034482759
24,87,0.1
24,95,0.1724137931034483
30,42,1.0344827586206895
31,32,0.0
23,125,1.3793103448275863
12,104,0.06896551724137931
24,3,0.03448275862068965
12,104,0.03448275862068965
30,70,0.4137931034482759
23,64,1.0
12,37,0.13793103448275862
32,45,0.03333333333333333
12,60,1.0344827586206895
12,98,0.03448275862068965
23,80,0.0
23,80,0.03333333333333333
23,27,0.03448275862068965
32,45,0.26666666666666666
23,53,0.3103448275862069
32,45,0.2
32,45,0.1
30,126,0.3103448275862069
33,37,1.1034482758620692
12,106,0.03448275862068965
33,37,0.0
12,106,0.06896551724137931
12,127,0.06666666666666668
23,50,1.0
34,128,0.0
23,129,0.0
24,130,2.0
23,50,0.0
23,53,0.0
23,27,0.0
23,80,0.0
12,111,0.1
12,12,0.03333333333333333
35,122,0.0
24,61,0.8620689655172413
24,66,1.0344827586206895
24,131,0.20689655172413796
23,80,0.0
23,27,0.0
23,53,0.0
23,50,0.0
23,129,0.0
